player,pos,team,data_src,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles,src_pts
Will Kacmarek,TE,MIA,CBS,0,0,0,0,0,35,328,3,1,83.80000000000001
Josh Oliver,TE,MIN,CBS,0,0,0,0,0,22,244,4,0,70.4
Michael Mayer,TE,LV,CBS,0,0,0,0,0,40,346,2,0,86.6
Noah Fant,TE,NO,CBS,0,0,0,0,0,44,424,2,3,92.4
Marlin Klein,TE,HOU,CBS,0,0,0,0,0,35,353,2,1,80.30000000000001
Davis Allen,TE,LAR,CBS,0,0,0,0,0,26,241,3,0,68.1
Eli Stowers,TE,PHI,CBS,0,0,0,0,0,31,323,2,1,73.30000000000001
Erick All,TE,CIN,CBS,0,0,0,0,0,36,302,2,0,78.2
Adam Trautman,TE,DEN,CBS,0,0,0,0,0,27,282,2,0,67.2
Cole Kmet,TE,CHI,CBS,0,0,0,0,0,22,229,2,0,56.900000000000006
Nate Boerkircher,TE,JAC,CBS,0,0,0,0,0,22,240,2,1,56
Eli Raridon,TE,NE,CBS,0,0,0,0,0,22,240,2,1,56
Jeremy Ruckert,TE,NYJ,CBS,0,0,0,0,0,27,196,2,0,58.6
Tommy Tremble,TE,CAR,CBS,0,0,0,0,0,23,202,2,0,55.2
Connor Heyward,FB,LV,CBS,0,0,0,0,0,14,102,2,0,36.2
Nate Adkins,TE,DEN,CBS,0,0,0,0,0,16,108,3,0,44.8
Austin Hooper,TE,ATL,CBS,0,0,0,0,0,23,250,1,0,54
John Bates,TE,WAS,CBS,0,0,0,0,0,20,203,2,1,50.3
Elijah Higgins,TE,ARI,CBS,0,0,0,0,0,23,221,1,1,49.1
Ja'Tavion Sanders,TE,CAR,CBS,0,0,0,0,0,25,192,1,0,50.2
Charlie Woerner,TE,ATL,CBS,0,0,0,0,0,23,196,1,0,48.6
Mitchell Evans,TE,CAR,CBS,0,0,0,0,0,16,143,2,0,42.3
Foster Moreau,TE,HOU,CBS,0,0,0,0,0,11,132,2,0,36.2
Ben Sinnott,TE,WAS,CBS,0,0,0,0,0,11,122,2,0,35.2
Jackson Hawes,TE,BUF,CBS,0,0,0,0,0,10,120,2,0,34
Grant Calcaterra,TE,PHI,CBS,0,0,0,0,0,17,175,1,0,40.5
Luke Musgrave,TE,GB,CBS,0,0,0,0,0,18,178,1,0,41.8
Cade Stover,TE,HOU,CBS,0,0,0,0,0,15,123,1,0,33.3
Noah Gray,TE,KC,CBS,0,0,0,0,0,15,138,1,0,34.8
Max Klare,TE,LAR,CBS,0,0,0,0,0,11,127,1,0,29.700000000000003
Luke Schoonmaker,TE,DAL,CBS,0,0,0,0,0,15,133,1,0,34.3
Jack Endries,TE,CIN,CBS,0,0,0,0,0,13,123,1,0,31.3
Matthew Hibner,TE,BAL,CBS,0,0,0,0,0,8,97,1,0,23.700000000000003
Hunter Long,TE,JAC,CBS,0,0,0,0,0,12,88,1,0,26.8
Dallen Bentley,TE,DEN,CBS,0,0,0,0,0,12,104,1,0,28.4
Chris Manhertz,TE,NYG,CBS,0,0,0,0,0,9,85,1,0,23.5
Thomas Fidone II,TE,NYG,CBS,0,0,0,0,0,10,101,1,0,26.1
Seydou Traore,TE,MIA,CBS,0,0,0,0,0,9,88,1,0,23.8
Drew Sample,TE,CIN,CBS,0,0,0,0,0,13,100,1,0,29
Jake Tonges,TE,SF,CBS,0,0,0,0,0,12,102,1,0,28.200000000000003
Brevyn Spann-Ford,TE,DAL,CBS,0,0,0,0,0,11,106,1,0,27.6
Bauer Sharp,TE,TB,CBS,0,0,0,0,0,11,113,1,0,28.3
Oscar Delp,TE,NO,CBS,0,0,0,0,0,11,115,1,0,28.5
Ian Thomas,TE,LV,CBS,0,0,0,0,0,10,87,1,0,24.700000000000003
Jared Wiley,TE,KC,CBS,0,0,0,0,0,11,96,1,0,26.6
Tanner Koziol,TE,JAC,CBS,0,0,0,0,0,10,111,1,0,27.1
Josh Cuevas,TE,BAL,CBS,0,0,0,0,0,8,97,1,0,23.700000000000003
Sam Roush,TE,CHI,CBS,0,0,0,0,0,10,111,1,0,27.1
Elijah Arroyo,TE,SEA,CBS,0,0,0,0,0,10,116,1,0,27.6
Josh Whyle,TE,GB,CBS,0,0,0,0,0,10,86,1,0,24.6
Payne Durham,TE,TB,CBS,0,0,0,0,0,8,91,1,0,23.1
Justin Joly,TE,DEN,CBS,0,0,0,0,0,9,88,1,0,23.8
Kylen Granson,TE,TEN,CBS,0,0,0,0,0,10,83,1,0,24.3
Andrew Ogletree,TE,IND,CBS,0,0,0,0,0,8,75,1,0,21.5
Durham Smythe,TE,BAL,CBS,0,0,0,0,0,8,79,1,0,21.9
Ko Kieft,TE,TB,CBS,0,0,0,0,0,8,81,1,0,22.1
Will Mallory,TE,IND,CBS,0,0,0,0,0,8,97,1,0,23.700000000000003
Trey McBride,TE,ARI,FantasyPros,0,0,0,0,0,108.9,1068.6,6.8,0.2,256.16
Brock Bowers,TE,LV,FantasyPros,0,0,0,0,0,96.6,1023,7.5,0.2,243.5
Colston Loveland,TE,CHI,FantasyPros,0,0,0,0,0,79.3,928.3,6.7,0.2,211.92999999999998
Tyler Warren,TE,IND,FantasyPros,0,0,0,0,0,78.9,877.8,5.5,0.3,199.08
Harold Fannin Jr.,TE,CLE,FantasyPros,0,0,0,0,0,82.6,834.3,5.7,0.8,198.63000000000002
George Kittle,TE,SF,FantasyPros,0,0,0,0,0,70.2,795.8,6.2,0.2,186.58
Kyle Pitts Sr.,TE,ATL,FantasyPros,0,0,0,0,0,77.2,845.2,4.4,0.1,187.92000000000004
Sam LaPorta,TE,DET,FantasyPros,0,0,0,0,0,70.5,813.7,5.5,0.2,184.47
Dallas Goedert,TE,PHI,FantasyPros,0,0,0,0,0,65.5,690.1,7.6,0.2,179.70999999999998
Travis Kelce,TE,KC,FantasyPros,0,0,0,0,0,74.9,784.8,4.8,0.3,181.58
