player,pos,team,data_src,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles,src_pts
DJ Giddens,RB,IND,ESPN,0,0,0,53,0,4,29,0,0,12.200000000000001
Emanuel Wilson,RB,SEA,ESPN,0,0,0,48,0,1,10,0,0,6.800000000000001
Kaleb Johnson,RB,GB,ESPN,0,0,0,33,0,1,10,0,0,5.300000000000001
Kene Nwangwu,RB,NYJ,ESPN,0,0,0,0,0,0,0,0,0,0
Bam Knight,RB,ARI,ESPN,0,0,0,0,0,0,0,0,0,0
Sione Vaki,RB,DET,ESPN,0,0,0,0,0,0,0,0,0,0
Dylan Laube,RB,LV,ESPN,0,0,0,0,0,0,0,0,0,0
Tyler Badie,RB,DEN,ESPN,0,0,0,0,0,0,0,0,0,0
Adam Randall,RB,BAL,ESPN,0,0,0,0,0,0,0,0,0,0
James Conner,RB,ARI,ESPN,0,0,0,0,0,0,0,0,0,0
Trey Benson,RB,ARI,ESPN,0,0,0,0,0,0,0,0,0,0
Riley Nowakowski,RB,PIT,ESPN,0,0,0,0,0,4,29,0,0,6.9
Kyle Juszczyk,RB,SF,ESPN,0,0,0,19,0,20,161,1,0,44
Hunter Luepke,RB,DAL,ESPN,0,0,0,56,0,9,62,0,0,20.8
Jahmyr Gibbs,RB,DET,CBS,0,0,0,1353,15,74,625,5,1,389.8
Jonathan Taylor,RB,IND,CBS,0,0,0,1579,15,42,344,2,2,332.29999999999995
Bijan Robinson,RB,ATL,CBS,0,0,0,1399,9,71,702,4,2,355.09999999999997
Derrick Henry,RB,BAL,CBS,0,0,0,1655,15,17,171,1,2,291.6
Christian McCaffrey,RB,SF,CBS,0,0,0,1007,8,75,686,5,1,320.3
De'Von Achane,RB,MIA,CBS,0,0,0,1130,7,76,552,6,1,320.2
James Cook,RB,BUF,CBS,0,0,0,1435,9,32,273,2,3,262.8
Chase Brown,RB,CIN,CBS,0,0,0,1008,9,73,471,5,1,302.90000000000003
Saquon Barkley,RB,PHI,CBS,0,0,0,1375,7,41,314,2,1,261.9
Kenneth Walker III,RB,KC,CBS,0,0,0,1205,8,47,360,0,1,249.5
Javonte Williams,RB,DAL,CBS,0,0,0,1198,11,31,147,1,2,233.5
D'Andre Swift,RB,CHI,CBS,0,0,0,1121,9,36,325,1,1,238.60000000000002
Cam Skattebo,RB,NYG,CBS,0,0,0,907,9,43,351,4,2,242.79999999999998
Kyren Williams,RB,LAR,CBS,0,0,0,1046,9,33,243,3,2,229.90000000000003
Bucky Irving,RB,TB,CBS,0,0,0,1028,6,44,400,3,1,238.8
Ashton Jeanty,RB,LV,CBS,0,0,0,875,8,49,300,5,1,242.5
Travis Etienne,RB,NO,CBS,0,0,0,986,5,48,359,5,1,240.50000000000003
Omarion Hampton,RB,LAC,CBS,0,0,0,893,10,46,298,2,1,235.10000000000002
Bhayshul Tuten,RB,JAC,CBS,0,0,0,891,12,16,128,3,3,201.90000000000003
Breece Hall,RB,NYJ,CBS,0,0,0,1014,6,40,370,2,2,222.4
Jeremiyah Love,RB,ARI,CBS,0,0,0,946,7,43,382,2,3,223.8
Quinshon Judkins,RB,CLE,CBS,0,0,0,973,10,37,243,0,1,216.60000000000002
David Montgomery,RB,HOU,CBS,0,0,0,1014,9,27,214,0,2,199.8
Jadarian Price,RB,SEA,CBS,0,0,0,977,8,20,222,1,3,187.89999999999998
J.K. Dobbins,RB,DEN,CBS,0,0,0,1137,7,21,77,0,1,182.39999999999998
TreVeyon Henderson,RB,NE,CBS,0,0,0,882,7,33,207,1,1,187.89999999999998
Jaylen Warren,RB,PIT,CBS,0,0,0,836,5,40,316,2,1,195.20000000000002
Rico Dowdle,RB,PIT,CBS,0,0,0,833,7,36,252,1,1,190.5
Jonathon Brooks,RB,CAR,CBS,0,0,0,880,7,24,199,1,2,175.9
Tony Pollard,RB,TEN,CBS,0,0,0,990,6,34,215,0,3,184.5
MarShawn Lloyd,RB,GB,CBS,0,0,0,935,7,13,124,1,3,160.9
RJ Harvey,RB,DEN,CBS,0,0,0,530,6,45,332,4,1,189.2
Rhamondre Stevenson,RB,NE,CBS,0,0,0,692,6,33,332,2,3,177.39999999999998
Jordan Mason,RB,MIN,CBS,0,0,0,905,7,18,82,0,1,156.7
Jacory Croskey-Merritt,RB,WAS,CBS,0,0,0,859,8,9,71,0,2,146
Chuba Hubbard,RB,CAR,CBS,0,0,0,712,5,33,210,3,1,171.2
Kyle Monangai,RB,CHI,CBS,0,0,0,855,5,23,208,0,1,157.3
Blake Corum,RB,LAR,CBS,0,0,0,886,6,6,36,0,1,132.20000000000002
Kenneth Gainwell,RB,TB,CBS,0,0,0,536,4,60,438,2,1,191.4
Josh Jacobs,RB,GB,CBS,0,0,0,644,7,23,186,1,1,152
Rachaad White,RB,WAS,CBS,0,0,0,710,6,25,167,1,1,152.7
Chris Rodriguez Jr.,RB,JAC,CBS,0,0,0,695,8,2,23,0,1,119.8
Aaron Jones,RB,MIN,CBS,0,0,0,661,3,38,291,2,1,161.20000000000002
Woody Marks,RB,HOU,CBS,0,0,0,561,3,21,179,3,1,129
Mike Washington Jr.,RB,LV,CBS,0,0,0,611,4,27,227,1,2,136.8
Kaelon Black,RB,SF,CBS,0,0,0,593,5,13,128,1,2,117.10000000000001
Braelon Allen,RB,NYJ,CBS,0,0,0,550,6,15,111,1,3,117.1
Tank Bigsby,RB,PHI,CBS,0,0,0,649,5,4,35,0,1,100.4
Jordan James,RB,SF,CBS,0,0,0,494,4,24,235,1,2,122.9
Isiah Pacheco,RB,DET,CBS,0,0,0,618,3,26,156,1,1,125.4
Tyjae Spears,RB,TEN,CBS,0,0,0,347,4,50,327,1,1,145.4
Dylan Sampson,RB,CLE,CBS,0,0,0,289,2,44,351,3,2,134
Zach Charbonnet,RB,SEA,CBS,0,0,0,449,6,16,129,0,1,107.80000000000001
Malik Davis,RB,DAL,CBS,0,0,0,554,4,9,75,0,1,93.9
Brian Robinson Jr.,RB,ATL,CBS,0,0,0,528,4,4,23,0,1,81.10000000000001
Tyler Allgeier,RB,ARI,CBS,0,0,0,442,5,16,96,0,1,97.80000000000001
Justice Hill,RB,BAL,CBS,0,0,0,325,3,26,218,2,0,110.3
Alvin Kamara,RB,NO,CBS,0,0,0,441,3,31,227,0,1,113.8
AJ Dillon,RB,CAR,CBS,0,0,0,532,3,18,146,1,5,99.80000000000001
Tyrone Tracy Jr.,RB,NYG,CBS,0,0,0,524,2,19,140,1,1,101.4
Emanuel Wilson,RB,SEA,CBS,0,0,0,531,3,14,94,0,1,92.5
Ty Johnson,RB,BUF,CBS,0,0,0,225,2,24,280,3,0,104.5
Christopher Brooks,RB,GB,CBS,0,0,0,539,2,13,91,0,1,86
Samaje Perine,RB,CIN,CBS,0,0,0,443,4,17,132,0,3,92.50000000000001
Keaton Mitchell,RB,LAC,CBS,0,0,0,473,2,11,72,0,1,75.50000000000001
James Conner,RB,ARI,CBS,0,0,0,217,2,28,213,2,0,95
Najee Harris,RB,NYG,CBS,0,0,0,352,3,10,75,0,0,70.7
Kimani Vidal,RB,LAC,CBS,0,0,0,333,2,16,145,1,0,81.80000000000001
Adam Randall,RB,BAL,CBS,0,0,0,339,2,13,141,1,1,77
Jaylen Wright,RB,MIA,CBS,0,0,0,384,2,7,49,0,2,58.300000000000004
Kyle Juszczyk,FB,SF,CBS,0,0,0,2,0,27,257,2,0,64.9
Brashard Smith,RB,KC,CBS,0,0,0,186,1,21,142,1,0,65.80000000000001
Roschon Johnson,RB,CHI,CBS,0,0,0,116,3,3,18,0,0,34.4
LeQuint Allen,RB,JAC,CBS,0,0,0,218,1,9,50,0,0,41.8
Seth McGowan,RB,IND,CBS,0,0,0,142,2,2,25,0,0,30.700000000000003
Kendre Miller,RB,NO,CBS,0,0,0,140,2,2,12,0,0,29.2
Isaiah Davis,RB,NYJ,CBS,0,0,0,171,1,7,61,0,0,36.2
Sean Tucker,RB,TB,CBS,0,0,0,145,2,1,6,0,0,28.1
Kaytron Allen,RB,WAS,CBS,0,0,0,171,1,2,22,0,0,27.3
Emari Demercado,RB,KC,CBS,0,0,0,206,0,5,41,0,0,29.700000000000003
Corey Kiner,RB,ARI,CBS,0,0,0,149,1,2,20,0,0,24.9
Andrew Beck,FB,NYJ,CBS,0,0,0,8,0,5,35,2,0,21.3
Michael Burton,FB,CLE,CBS,0,0,0,10,1,6,40,1,0,23
Audric Estime,RB,NO,CBS,0,0,0,122,1,3,24,0,0,23.6
Jonah Coleman,RB,DEN,CBS,0,0,0,134,1,3,23,0,0,24.7
Emmett Johnson,RB,KC,CBS,0,0,0,126,1,2,23,0,0,22.900000000000002
Demond Claiborne,RB,MIN,CBS,0,0,0,133,1,2,21,0,0,23.400000000000002
Ameer Abdullah,RB,JAC,CBS,0,0,0,71,1,8,56,0,0,26.700000000000003
Nicholas Singleton,RB,TEN,CBS,0,0,0,104,1,2,21,0,0,20.5
Eli Heidenreich,RB,PIT,CBS,0,0,0,117,1,2,21,0,0,21.800000000000004
DJ Giddens,RB,IND,CBS,0,0,0,133,1,1,11,0,0,21.400000000000002
Kene Nwangwu,RB,NYJ,CBS,0,0,0,132,1,0,4,0,0,19.6
George Holani,RB,SEA,CBS,0,0,0,118,1,4,30,0,0,24.8
Zonovan Knight,RB,ARI,CBS,0,0,0,86,1,3,20,0,0,19.6
Raheim Sanders,RB,CLE,CBS,0,0,0,107,1,2,17,0,0,20.400000000000002
Devin Singletary,RB,NYG,CBS,0,0,0,130,1,1,10,0,0,21
Isaac Guerendo,RB,SF,CBS,0,0,0,122,1,3,29,0,0,24.1
Rasheen Ali,RB,BAL,CBS,0,0,0,47,0,7,53,1,0,23
Ollie Gordon II,RB,MIA,CBS,0,0,0,80,1,1,4,0,0,15.4
Ray Davis,RB,BUF,CBS,0,0,0,163,0,2,18,0,0,20.1
Jahmyr Gibbs,RB,DET,FantasyPros,0,0,0,1383.7,13.8,71.3,581.1,4.1,1.1,372.9800000000001
Bijan Robinson,RB,ATL,FantasyPros,0,0,0,1391.1,8.8,76.9,705.6,3.5,1.8,356.77
Christian McCaffrey,RB,SF,FantasyPros,0,0,0,1093.6,8.7,78.6,693,4.6,1.1,334.86
Jonathan Taylor,RB,IND,FantasyPros,0,0,0,1505.8,12.9,42.8,341,1.5,1.7,310.4800000000001
Derrick Henry,RB,BAL,FantasyPros,0,0,0,1577.2,13.4,18.1,175,0.7,1.7,274.52000000000004
De'Von Achane,RB,MIA,FantasyPros,0,0,0,1200.8,6,65.5,491.8,4,1,292.76
James Cook III,RB,BUF,FantasyPros,0,0,0,1405.6,10.3,33.3,283.4,1.9,2.4,270.59999999999997
Chase Brown,RB,CIN,FantasyPros,0,0,0,1036.6,7.8,64.1,427.4,3.9,1.1,278.49999999999994
Saquon Barkley,RB,PHI,FantasyPros,0,0,0,1298.4,8.2,42.1,330.6,2.1,1,264.8
Kenneth Walker III,RB,KC,FantasyPros,0,0,0,1207.1,8.7,45.8,352.7,1.2,0.9,259.38
Ja'Marr Chase,WR,CIN,ESPN,0,0,0,21,0,120,1507,11,0,338.8
Puka Nacua,WR,LAR,ESPN,0,0,0,91,1,123,1586,10,0,356.70000000000005
Jaxon Smith-Njigba,WR,SEA,ESPN,0,0,0,25,0,117,1569,9,0,330.4
Amon-Ra St. Brown,WR,DET,ESPN,0,0,0,13,0,118,1426,10,0,321.9
CeeDee Lamb,WR,DAL,ESPN,0,0,0,13,0,103,1376,9,0,295.9
Justin Jefferson,WR,MIN,ESPN,0,0,0,11,0,111,1373,7,0,291.4
Drake London,WR,ATL,ESPN,0,0,0,0,0,102,1250,7,0,269
A.J. Brown,WR,NE,ESPN,0,0,0,0,0,86,1220,7,0,250
Nico Collins,WR,HOU,ESPN,0,0,0,12,0,87,1196,7,0,249.8
Chris Olave,WR,NO,ESPN,0,0,0,0,0,91,1195,7,0,252.5
Rashee Rice,WR,KCC,ESPN,0,0,0,43,1,92,1082,9,0,264.5
George Pickens,WR,DAL,ESPN,0,0,0,0,0,80,1115,8,0,239.5
Garrett Wilson,WR,NYJ,ESPN,0,0,0,11,0,100,1176,5,0,248.7
Malik Nabers,WR,NYG,ESPN,0,0,0,23,0,85,1128,7,0,242.10000000000002
DeVonta Smith,WR,PHI,ESPN,0,0,0,0,0,91,1129,6,0,239.9
